State,Year_0304,Year_0405,Year_0506,Year_0607,Year_0708,Year_0809,Year_0910,Year_1011,Year_1112,Year_1213,Year_1314,Year_1415,Total,Mean
Alaska,6,3,3,3,3,4,4,8,6,5,4,1,50,4.17
Alabama,5,6,5,6,6,6,6,6,6,8,8,10,78,6.5
Arkansas,10,13,12,8,8,9,11,10,10,11,8,8,118,9.83
Arizona,10,14,16,18,19,17,19,23,21,22,28,32,239,19.92
California,312,310,333,329,325,335,329,328,323,326,336,343,"3,929",327.42
Colorado,20,22,29,24,26,14,11,15,15,18,22,25,241,20.08
Connecticut,84,82,78,72,79,82,84,87,81,79,82,69,959,79.92
District of Columbia,9,10,9,8,7,8,7,9,7,8,8,5,95,7.92
Delaware,1,2,3,4,3,2,3,3,3,4,2,4,34,2.83
Florida,58,69,68,72,82,76,76,73,66,63,68,72,843,70.25
Georgia,31,33,30,35,36,30,30,33,34,44,45,45,426,35.5
Hawaii,19,15,15,16,15,10,11,12,13,13,10,5,154,12.83
Iowa,8,8,7,4,5,3,2,3,4,5,5,9,63,5.25
Idaho,5,2,5,7,10,11,8,6,3,3,6,5,71,5.92
Illinois,48,47,53,58,60,60,57,58,55,57,66,65,684,57
Indiana,16,18,13,13,13,17,12,13,12,12,13,11,163,13.58
Kansas,9,7,10,13,13,14,11,11,8,6,4,2,108,9
Kentucky,6,7,5,6,7,9,9,10,9,6,4,4,82,6.83
Louisiana,9,9,6,6,7,5,4,6,6,6,5,3,72,6
Massachusetts,407,395,407,405,397,391,386,370,356,344,345,348,"4,551",379.25
Maryland,46,47,50,51,57,57,61,69,70,67,59,48,682,56.83
Maine,32,30,31,30,36,36,36,41,40,36,33,28,409,34.08
Michigan,33,40,34,32,36,34,39,46,46,47,54,49,490,40.83
Minnesota,34,43,46,46,45,47,45,54,59,62,61,65,607,50.58
Missouri,10,8,11,10,14,21,20,25,23,23,26,21,212,17.67
Mississippi,0,1,2,4,3,4,5,4,5,5,3,3,39,3.25
Montana,2,3,2,2,1,1,1,1,2,2,2,2,21,1.75
North Carolina,20,21,24,24,22,21,13,25,29,28,27,34,288,24
North Dakota,3,0,0,1,1,2,1,0,0,0,0,0,8,0.67
Nebraska,6,1,2,3,7,8,6,6,3,2,1,2,47,3.92
New Hampshire,34,32,31,35,40,42,45,40,42,43,37,34,455,37.92
New Jersey,137,136,129,148,154,147,136,128,126,125,118,114,"1,598",133.17
New Mexico,14,17,17,12,13,12,10,9,6,8,6,5,129,10.75
Nevada,4,3,6,6,5,8,7,7,9,10,10,8,83,6.92
New York,275,269,260,253,272,274,259,250,228,203,205,199,"2,947",245.58
Ohio,31,29,36,40,45,42,39,46,46,45,46,41,486,40.5
Oklahoma,6,7,5,7,11,7,7,8,5,5,6,4,78,6.5
Oregon,23,24,26,23,22,21,18,23,24,30,28,26,288,24
Pennsylvania,90,72,76,76,69,73,71,76,73,71,63,57,867,72.25
Puerto Rico,1,2,1,3,3,2,4,3,3,3,1,1,27,2.25
Rhode Island,21,25,26,23,21,20,15,15,11,11,15,12,215,17.92
South Carolina,7,8,9,10,7,4,4,5,8,12,13,12,99,8.25
South Dakota,2,2,1,1,2,3,3,3,1,0,0,2,20,1.67
Tennessee,17,17,19,22,18,20,21,21,22,17,15,17,226,18.83
Texas,80,91,93,89,85,92,82,73,76,78,75,84,998,83.17
Utah,11,9,7,3,4,6,8,10,13,11,7,8,97,8.08
Virginia,59,48,47,49,51,51,52,49,49,47,45,46,593,49.42
Virgin Islands,1,2,2,2,3,2,1,2,1,1,1,,18,1.64
Vermont,21,16,15,19,19,22,22,20,20,24,23,21,242,20.17
Washington,57,60,63,63,55,51,53,55,60,65,68,64,714,59.5
Wisconsin,7,9,8,18,25,30,30,25,23,22,25,29,251,20.92
West Virginia,6,3,4,5,6,6,4,2,3,5,5,8,57,4.75
Wyoming,1,1,0,2,2,2,2,0,0,0,1,1,12,1
Military Post Office,7,2,3,2,2,6,7,7,6,4,3,2,51,4.25
Northern Marianas,1,1,1,1,1,1,0,0,0,0,0,0,6,0.5
SubTotal,"2,172","2,151","2,194","2,222","2,278","2,278","2,207","2,232","2,170","2,152","2,151","2,113","26,320",2193.33
